case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,delta_midcls,delta_attn
NA0_LAG50_007,NA0_LAG50,0,50,4,2,unrelated,,,-0.00045055150985717773,0.006634891033172607
NA0_LAG50_007,NA0_LAG50,0,50,4,3,unrelated,,,-0.0010401010513305664,0.0034502148628234863
NA0_LAG50_007,NA0_LAG50,0,50,4,5,unrelated,,,-0.0016939043998718262,0.0030312538146972656
NA0_LAG50_007,NA0_LAG50,0,50,4,6,unrelated,,,-0.00133436918258667,0.007108747959136963
NA0_LAG50_008,NA0_LAG50,0,50,5,1,unrelated,,,0.0010355710983276367,0.18109136819839478
NA0_LAG50_008,NA0_LAG50,0,50,5,2,unrelated,,,-0.0014255046844482422,0.19486629962921143
NA0_LAG50_008,NA0_LAG50,0,50,5,3,unrelated,,,-0.00046056509017944336,0.21414220333099365
NA0_LAG50_008,NA0_LAG50,0,50,5,4,unrelated,,,0.0001761317253112793,0.2164403796195984
NA0_LAG50_008,NA0_LAG50,0,50,5,6,unrelated,,,0.0006003975868225098,0.2076653242111206
NA0_LAG50_009,NA0_LAG50,0,50,3,1,unrelated,,,0.042120516300201416,0.19580543041229248
NA0_LAG50_009,NA0_LAG50,0,50,3,2,unrelated,,,0.04285609722137451,0.19034039974212646
NA0_LAG50_009,NA0_LAG50,0,50,3,4,unrelated,,,0.04748266935348511,0.20908737182617188
NA0_LAG50_009,NA0_LAG50,0,50,3,5,unrelated,,,0.0466228723526001,0.19668149948120117
NA0_LAG50_009,NA0_LAG50,0,50,3,6,unrelated,,,0.04301190376281738,0.21170157194137573
NA0_LAG50_010,NA0_LAG50,0,50,2,1,unrelated,,,0.05500352382659912,0.12667495012283325
NA0_LAG50_010,NA0_LAG50,0,50,2,3,unrelated,,,0.056231915950775146,0.13230741024017334
NA0_LAG50_010,NA0_LAG50,0,50,2,4,unrelated,,,0.054510653018951416,0.13255155086517334
NA0_LAG50_010,NA0_LAG50,0,50,2,5,unrelated,,,0.0552787184715271,0.12379544973373413
NA0_LAG50_010,NA0_LAG50,0,50,2,6,unrelated,,,0.057231009006500244,0.132645845413208
NA0_LAG50_011,NA0_LAG50,0,50,1,2,unrelated,,,-3.731250762939453e-05,0.20941001176834106
NA0_LAG50_011,NA0_LAG50,0,50,1,3,unrelated,,,0.0001494884490966797,0.1916559338569641
NA0_LAG50_011,NA0_LAG50,0,50,1,4,unrelated,,,0.0004196763038635254,0.2083178162574768
NA0_LAG50_011,NA0_LAG50,0,50,1,5,unrelated,,,-0.00010663270950317383,0.211783766746521
NA0_LAG50_011,NA0_LAG50,0,50,1,6,unrelated,,,-0.000644981861114502,0.20405477285385132
NA0_LAG50_012,NA0_LAG50,0,50,2,1,unrelated,,,0.0007219910621643066,0.0031777620315551758
NA0_LAG50_012,NA0_LAG50,0,50,2,3,unrelated,,,0.00043195486068725586,0.0022121071815490723
NA0_LAG50_012,NA0_LAG50,0,50,2,4,unrelated,,,0.00014930963516235352,0.005883216857910156
NA0_LAG50_012,NA0_LAG50,0,50,2,5,unrelated,,,-0.00016111135482788086,0.013286352157592773
NA0_LAG50_012,NA0_LAG50,0,50,2,6,unrelated,,,0.0007761716842651367,0.009171843528747559
NA0_LAG50_013,NA0_LAG50,0,50,2,1,unrelated,,,-0.0004919767379760742,0.05203968286514282
NA0_LAG50_013,NA0_LAG50,0,50,2,3,unrelated,,,-0.000245511531829834,0.057652950286865234
NA0_LAG50_013,NA0_LAG50,0,50,2,4,unrelated,,,0.000639498233795166,0.04047858715057373
NA0_LAG50_013,NA0_LAG50,0,50,2,5,unrelated,,,-0.0007576346397399902,0.04408818483352661
NA0_LAG50_013,NA0_LAG50,0,50,2,6,unrelated,,,-0.000587761402130127,0.045509278774261475
NA0_LAG50_014,NA0_LAG50,0,50,3,1,unrelated,,,-2.09808349609375e-05,0.03588646650314331
NA0_LAG50_014,NA0_LAG50,0,50,3,2,unrelated,,,-0.0001729130744934082,0.046427011489868164
NA0_LAG50_014,NA0_LAG50,0,50,3,4,unrelated,,,0.001262664794921875,0.055741727352142334
NA0_LAG50_014,NA0_LAG50,0,50,3,5,unrelated,,,-0.0006788372993469238,0.058015406131744385
NA0_LAG50_014,NA0_LAG50,0,50,3,6,unrelated,,,-0.00040650367736816406,0.05500715970993042
NA0_LAG50_015,NA0_LAG50,0,50,6,1,unrelated,,,0.04578578472137451,0.13665932416915894
NA0_LAG50_015,NA0_LAG50,0,50,6,2,unrelated,,,0.04844862222671509,0.21685606241226196
NA0_LAG50_015,NA0_LAG50,0,50,6,3,unrelated,,,0.051981568336486816,0.14851266145706177
NA0_LAG50_015,NA0_LAG50,0,50,6,4,unrelated,,,0.046474575996398926,0.11886292695999146
NA0_LAG50_015,NA0_LAG50,0,50,6,5,unrelated,,,0.047874510288238525,0.14934438467025757
NA0_LAG50_016,NA0_LAG50,0,50,5,1,unrelated,,,-0.0014951229095458984,0.09311926364898682
NA0_LAG50_016,NA0_LAG50,0,50,5,2,unrelated,,,-0.00011146068572998047,0.06607228517532349
NA0_LAG50_016,NA0_LAG50,0,50,5,3,unrelated,,,-0.0009542107582092285,0.0780097246170044
NA0_LAG50_016,NA0_LAG50,0,50,5,4,unrelated,,,-6.103515625e-05,0.10687142610549927
NA0_LAG50_016,NA0_LAG50,0,50,5,6,unrelated,,,-0.0008904337882995605,0.1011199951171875
NA0_LAG50_017,NA0_LAG50,0,50,1,2,unrelated,,,0.0015194416046142578,0.014389574527740479
NA0_LAG50_017,NA0_LAG50,0,50,1,3,unrelated,,,5.239248275756836e-05,0.018294870853424072
NA0_LAG50_017,NA0_LAG50,0,50,1,4,unrelated,,,0.0012074112892150879,0.00411146879196167
NA0_LAG50_017,NA0_LAG50,0,50,1,5,unrelated,,,0.0005893111228942871,0.032178521156311035
NA0_LAG50_017,NA0_LAG50,0,50,1,6,unrelated,,,0.0013480782508850098,0.033335089683532715
NA0_LAG50_018,NA0_LAG50,0,50,3,1,unrelated,,,0.04919236898422241,0.16290545463562012
NA0_LAG50_018,NA0_LAG50,0,50,3,2,unrelated,,,0.0506630539894104,0.158008873462677
NA0_LAG50_018,NA0_LAG50,0,50,3,4,unrelated,,,0.04960125684738159,0.1627759337425232
NA0_LAG50_018,NA0_LAG50,0,50,3,5,unrelated,,,0.050155460834503174,0.1497960090637207
NA0_LAG50_018,NA0_LAG50,0,50,3,6,unrelated,,,0.04760187864303589,0.17783516645431519
NA0_LAG50_019,NA0_LAG50,0,50,2,1,unrelated,,,0.00043463706970214844,0.013045191764831543
NA0_LAG50_019,NA0_LAG50,0,50,2,3,unrelated,,,0.00041103363037109375,0.006513833999633789
