case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,dist_pre_cls,dist_post_cls,delta_cls,dist_pre_patch,dist_post_patch,delta_patch
NA0_LAG10_013,NA0_LAG10,0,10,1,6,unrelated,,,0.03977733850479126,0.016087889671325684,-0.023689448833465576,0.02628183364868164,0.013437449932098389,-0.012844383716583252
NA0_LAG10_014,NA0_LAG10,0,10,4,1,unrelated,,,0.03374159336090088,0.005468487739562988,-0.02827310562133789,0.021637916564941406,0.005429327487945557,-0.01620858907699585
NA0_LAG10_014,NA0_LAG10,0,10,4,2,unrelated,,,0.057689666748046875,0.005156755447387695,-0.05253291130065918,0.033158957958221436,0.004633963108062744,-0.02852499485015869
NA0_LAG10_014,NA0_LAG10,0,10,4,3,unrelated,,,0.023086190223693848,0.006796121597290039,-0.01629006862640381,0.017179489135742188,0.0058255791664123535,-0.011353909969329834
NA0_LAG10_014,NA0_LAG10,0,10,4,5,unrelated,,,0.026183724403381348,0.00521397590637207,-0.020969748497009277,0.01717442274093628,0.0038031339645385742,-0.013371288776397705
NA0_LAG10_014,NA0_LAG10,0,10,4,6,unrelated,,,0.03778862953186035,0.007632017135620117,-0.030156612396240234,0.023871004581451416,0.006858646869659424,-0.017012357711791992
NA0_LAG10_015,NA0_LAG10,0,10,4,1,unrelated,,,0.030088603496551514,0.1996353268623352,0.1695467233657837,0.01884901523590088,0.17020368576049805,0.15135467052459717
NA0_LAG10_015,NA0_LAG10,0,10,4,2,unrelated,,,0.021618008613586426,0.18518602848052979,0.16356801986694336,0.013571441173553467,0.162919819355011,0.14934837818145752
NA0_LAG10_015,NA0_LAG10,0,10,4,3,unrelated,,,0.016591906547546387,0.18994951248168945,0.17335760593414307,0.010057926177978516,0.16558653116226196,0.15552860498428345
NA0_LAG10_015,NA0_LAG10,0,10,4,5,unrelated,,,0.0357857346534729,0.19481950998306274,0.15903377532958984,0.0183982253074646,0.169397234916687,0.1509990096092224
NA0_LAG10_015,NA0_LAG10,0,10,4,6,unrelated,,,0.015571177005767822,0.1902570128440857,0.17468583583831787,0.009439826011657715,0.17363685369491577,0.16419702768325806
NA0_LAG10_016,NA0_LAG10,0,10,4,1,unrelated,,,0.0165671706199646,0.18678677082061768,0.17021960020065308,0.011475026607513428,0.17179685831069946,0.16032183170318604
NA0_LAG10_016,NA0_LAG10,0,10,4,2,unrelated,,,0.02425670623779297,0.18318766355514526,0.1589309573173523,0.01506274938583374,0.1651589274406433,0.15009617805480957
NA0_LAG10_016,NA0_LAG10,0,10,4,3,unrelated,,,0.01357877254486084,0.1713559627532959,0.15777719020843506,0.011505424976348877,0.16014951467514038,0.1486440896987915
NA0_LAG10_016,NA0_LAG10,0,10,4,5,unrelated,,,0.014534235000610352,0.19088631868362427,0.17635208368301392,0.009951293468475342,0.17339885234832764,0.1634475588798523
NA0_LAG10_016,NA0_LAG10,0,10,4,6,unrelated,,,0.028090476989746094,0.1910398006439209,0.1629493236541748,0.01964747905731201,0.17298585176467896,0.15333837270736694
NA0_LAG10_017,NA0_LAG10,0,10,6,1,unrelated,,,0.01778090000152588,0.00983428955078125,-0.007946610450744629,0.01353377103805542,0.009305417537689209,-0.004228353500366211
NA0_LAG10_017,NA0_LAG10,0,10,6,2,unrelated,,,0.050009965896606445,0.00909346342086792,-0.040916502475738525,0.025339245796203613,0.009304225444793701,-0.016035020351409912
NA0_LAG10_017,NA0_LAG10,0,10,6,3,unrelated,,,0.019754111766815186,0.009318768978118896,-0.010435342788696289,0.01354748010635376,0.009398937225341797,-0.004148542881011963
NA0_LAG10_017,NA0_LAG10,0,10,6,4,unrelated,,,0.018173396587371826,0.007566988468170166,-0.01060640811920166,0.010053157806396484,0.0068135857582092285,-0.003239572048187256
